STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,DATE_LAST_UPDATE,TYPE_LAST_UPDATE,DEDUCT_CODE,REMARKS,PROGRAM_CODE,PROJ_NO,PROJ_SUFFIX,NBI_TYPE_OF_IMP,DTL_TYPE_OF_IMP,SPECIAL_CODE,STEP_CODE,STATUS_WITH_10YR_RULE,SUFFICIENCY_ASTERC,SUFFICIENCY_RATING,STATUS_NO_10YR_RULE
01,00000000000S702,1,6,1,04007,0,09,053,0,'PERDIDO CREEK           ',,'IRR BIA RTE 4007  ','11.4KM NW OF ATMORE  AL  ',99.99,1.5,0,0000000000,0,31061102,087341352,3,3,62,62,09,1999,2,0,50,2010,5,9.7,0,30,0,1,1,1,1,5,0,0,0,P,1,5,5,05,0,00,1,0,9.7,14.7,15,0,0,9.7,9.7,99.99,N,0,N,0,0,7,7,7,7,N,1,44.2,1,32.4,7,7,N,5,7,7,,,0,212,24,N  ,N  ,N  ,,,,0,0,0,2012,,0,,0,N,2,,0,1,0,2,6,0,1,1,0,,Y,6,100,2030,0,Y, ,                , ,  , ,    ,       , ,  ,  , ,0,     ,100,0
01,00000000000S703,1,6,1,04003,0,09,053,0,'PERDIDO CREEK           ',,'IRR BIA RTE 4003  ','ON LYNN MCGEE ROAD       ',99.99,1.1,0,0000000000,0,31061996,087340924,3,3,62,62,09,2002,2,0,150,2010,5,9.7,0,0,0,1,1,1,1,5,0,0,0,P,1,5,5,01,0,00,1,0,9.7,13.7,13.7,0.3,0.3,9.2,9.7,99.99,N,0,N,0,0,7,7,7,7,N,1,84.8,1,34.8,7,6,N,5,7,6,,,0,212,24,N  ,N  ,N  ,,,,0,0,0,2012,,0,,0,N,2,,0,1,0,2,6,0,0,1,0,,Y,6,200,2030,0,Y, ,                , ,  , ,    ,       , ,  ,  , ,0,     ,100,0
01,0000000000M0022,1,8,1,00000,0,00,113,27448,'UCHEE CREEK             ',,'101ST AIRBORNE RD ','3.4 KM S OF SUNSHINE RD  ',99.99,0,0,,,32174328,084583800,18,3,74,74,09,1942,2,0,375,2011,4,10.4,0,0,0,0,0,0,1,5,0,0,0,A,1,5,1,04,0,00,3,0,7.2,18.3,43,0.6,0.6,7.2,9,99.99,N,0,N,0,0,5,5,6,6,N,2,51.7,2,37.2,5,4,N,5,8,6,38,1,53.1,1211,24,N  ,Y48,N  ,,1209,,9,17,26,2011,,,,0,N,2,,0,0,0,1,1,0,0,35,0,,Y,8,400,2033,,Y, ,                , ,  , ,    ,       , ,  ,  , ,0,     ,68.5,0
01,000000883039900,1,4,1,00088,0,02,059,0,'LITTLE BEAR CR. DAM SPW ',,'CO. RD 88         ','LITTLE BEAR CR DAM       ',99.99,0,0,,,34270600,087581200,16,3,67,67,08,1974,2,0,370,2009,5,11.6,0,99,0,1,1,1,1,5,N,0,0,A,1,9,5,05,0,00,5,0,8.6,14,65.5,0,0,8.7,10.5,99.99,N,0,N,0,0,8,8,8,9,N,2,40.5,2,32.4,8,6,N,5,9,6,,,,612,24,N  ,N  ,N  ,,,,,,,,,,,0,N,2,,0,0,0,1,1,0,0,5,0,,Y,8,400,2027,,Y, ,                , ,  , ,    ,       , ,  ,  , ,0,     ,94.7,0
01,000001014002450,1,3,1,00101,0,02,079,0,'TENNESSEE RIVER         ',,'SR 101            ','ON WHEELER DAM           ',4.52,39.429,0,,,34481800,087225400,42,3,67,67,06,1937,2,0,5900,2011,4,7.9,0,0,0,1,0,0,0,4,1,17.9,33.5,A,5,5,3,10,3,02,2,143,6,53.3,1981.2,0.9,0.2,6.1,7.8,4.52,N,0,N,0,0,6,6,7,9,N,2,45,2,32.4,6,2,N,5,8,8,31,1,1981.2,611,24,Y24,N  ,N  ,0611,,,50000,2000,60000,2005,,,,0,N,2,,0,0,1962,1,1,0,0,10,0,1,Y,8,10000,2030,,Y, ,                , ,  , ,    ,       , ,  ,  , ,2,     ,59,2
01,000001331700710,1,6,2,00000,0,02,033,0,'TENNESSEE RIVER         ',,'Res Rd            ','ON WILSON DAM            ',99.99,0,0,,,34480000,087373000,6,3,67,67,17,1924,2,2,2000,2009,3,7.9,0,0,0,1,0,0,0,1,1,17.3,33.5,A,5,6,4,03,1,20,8,78,6,46.9,1512.4,1.7,0.5,6.1,8.3,99.99,H,12.19,H,6,0,5,6,5,8,N,2,36,2,25.2,5,2,9,5,9,3,31,1,1512.4,612,24,Y24,N  ,N  ,0612,,,35000,2000,45000,2005,,,,0,N,2,,0,0,1958,1,5,0,0,8,0,1,Y,8,2500,2030,,Y, ,                , ,  , ,    ,       , ,  ,  , ,2,     ,55.6,2
01,000002         ,1,4,1,00000,0,03,127,0,'BLACKWATER CREEK        ',,'COUNTRY CLUB ROAD ','1 MILE EAST HWY 195      ',4.57,0.01,0,,,33543030,087171770,2,3,02,02,09,1898,1,0,400,1991,1,5.2,0,0,0,0,0,0,0,2,0,0,0,P,1,5,3,10,3,02,1,4,3.7,30.5,51.8,0,0,3.7,3.7,4.57,N,0,N,0,0,8,4,5,7,N,5,2.7,5,1.8,2,2,N,0,7,2,31,1,62,313,3 ,Y24,N  ,N  ,0212,,,515,52,773,2013,,,,0,N,3,,0,0,0,6,6,0,0,1,0,,Y,6,560,2032,0,N, ,                , ,  , ,    ,       , ,  ,  , ,1,     ,16.9,1
01,000004         ,1,4,1,00000,0,03,127,0,'LOST CREEK              ',,'KINGS MILL ROAD   ','1 MILE N OAKMAN HWY      ',4.02,0.01,0,,,33440950,087213460,13,3,02,02,09,1900,1,0,150,1991,2,4.9,0,0,0,0,0,0,0,5,0,0,0,P,1,5,3,10,3,02,1,5,3.7,25.6,48.2,0,0,3.7,3.7,4.02,N,0,N,0,0,4,4,4,6,N,5,2.7,5,1.8,2,2,N,0,8,2,31,1,58.2,113,3 ,Y24,N  ,N  ,0213,,,483,48,724,2013,,,,0,N,3,,0,0,0,6,8,0,0,1,0,,Y,U,210,2033,0,N, ,                , ,  , ,    ,       , ,  ,  , ,1,     ,0,1
01,000004504800350,1,6,8,00000,0,01,095,0,'LITTLE PAINT ROCK CREEK ',,'LOCK ACCESS ROAD  ','0.3 MI SOUTH US 431      ',99.99,5.633,0,,,34281800,086223000,199,3,67,67,09,1939,2,0,350,2011,4,6.1,0,0,0,1,0,0,0,5,0,0,0,A,1,5,1,04,0,00,1,0,7.3,18.3,19.2,0.3,0.3,7,8.2,99.99,N,0,N,0,0,7,7,7,8,N,1,47.7,1,28.8,7,4,N,5,6,8,,,,1212,24,N  ,N  ,N  ,,,,,,,,,,,0,N,2,,0,0,0,1,6,0,0,5,0,,Y,8,375,2030,,Y, ,                , ,  , ,    ,       , ,  ,  , ,0,     ,72.8,0
01,000005         ,1,5,0,00000,0,05,075,48808,'STREAM                  ',,'RAILROAD STREET   ','0.5 MI E SR#17           ',99.99,0.499,0,,,33335700,088042637,158,3,04,04,09,1900,1,0,15,2007,1,3,0,0,0,0,0,0,0,5,0,0,0,P,1,5,4,10,0,00,2,0,4.4,7.9,15.5,0,0,4.4,4.8,99.99,N,0,N,99.9,0,5,5,5,6,N,2,4.5,2,2.7,2,6,N,0,4,5,31,1,22.3,612,12,N  ,N  ,N  ,,,,240,24,360,2013,,,,0,N,3,,0,0,0,8,7,0,0,,0,,Y,U,59,2027,,N, ,                , ,  , ,    ,       , ,  ,  , ,1,     ,22.1,1
